species_key,species_name,climate_suitability,sunlight_preference,water_demand,maintenance_need,root_aggressiveness,pollinator_value,edible,child_pet_safety,native_support,container_suitability,cooling_contribution,privacy_contribution,growth_habit
tulsi_holy,Holy basil (tulsi),HOT_HUMID|MONSOON_HEAVY,PART,LOW,LOW,MED,3,1,SAFE,HIGH,EXCELLENT,2,0,HERB
basil_sweet,Sweet basil,HOT_HUMID,FULL,MED,LOW,LOW,3,1,SAFE,LOW,EXCELLENT,1,0,HERB
mint,Mint,HOT_HUMID|MONSOON_HEAVY,PART,HIGH,LOW,HIGH,3,1,SAFE,MED,GOOD,1,0,HERB
coriander,Coriander,TEMPERATE_LITE|HOT_HUMID,PART,HIGH,LOW,LOW,2,1,SAFE,HIGH,EXCELLENT,0,0,HERB
curry_leaf,Curry leaf,HOT_HUMID|MONSOON_HEAVY,FULL,MED,LOW,MED,2,1,CAUTION,HIGH,GOOD,2,1,SHRUB
lemongrass,Lemongrass,HOT_HUMID|HOT_DRY,FULL,MED,LOW,HIGH,2,1,SAFE,MED,GOOD,2,2,GRASS
cherry_tomato,Cherry tomato,HOT_HUMID,FULL,HIGH,MED,LOW,2,1,UNSAFE,LOW,GOOD,2,0,UPRIGHT
chilli,Chilli pepper,HOT_HUMID|HOT_DRY,FULL,MED,LOW,LOW,2,1,UNSAFE,LOW,EXCELLENT,1,0,UPRIGHT
malabar_spinach,Malabar spinach,HOT_HUMID|MONSOON_HEAVY,PART,MED,LOW,LOW,2,1,SAFE,HIGH,GOOD,2,1,VINE
aloe_vera,Aloe vera,HOT_DRY|HOT_HUMID,FULL,LOW,LOW,LOW,1,0,UNSAFE,LOW,EXCELLENT,1,0,SUCCULENT
jade_plant,Jade plant,HOT_DRY|HOT_HUMID,PART,LOW,LOW,LOW,1,0,UNSAFE,LOW,EXCELLENT,1,0,SUCCULENT
sedum,Sedum mix,HOT_DRY|HOT_HUMID,FULL,LOW,LOW,LOW,3,0,SAFE,LOW,EXCELLENT,2,0,GROUND_COVER
prickly_pear,Prickly pear,HOT_DRY,FULL,LOW,LOW,MED,2,1,UNSAFE,MED,GOOD,2,1,SUCCULENT
bougainvillea,Bougainvillea,HOT_DRY|HOT_HUMID,FULL,LOW,MED,HIGH,3,0,UNSAFE,MED,FAIR,3,3,VINE
hibiscus,Hibiscus,HOT_HUMID|MONSOON_HEAVY,FULL,HIGH,MED,MED,3,0,UNSAFE,MED,GOOD,2,1,SHRUB
marigold,Marigold,HOT_HUMID|HOT_DRY,FULL,MED,LOW,LOW,3,1,SAFE,HIGH,EXCELLENT,1,0,UPRIGHT
portulaca,Portulaca,HOT_DRY|HOT_HUMID,FULL,LOW,LOW,LOW,2,0,SAFE,LOW,EXCELLENT,1,0,GROUND_COVER
vinca,Vinca,HOT_HUMID,PART,MED,LOW,LOW,2,0,UNSAFE,LOW,EXCELLENT,1,0,GROUND_COVER
zinnia,Zinnia,HOT_HUMID|HOT_DRY,FULL,MED,LOW,LOW,3,1,SAFE,LOW,EXCELLENT,1,0,UPRIGHT
pothos,Pothos,HOT_HUMID,SHADE,LOW,LOW,LOW,0,0,UNSAFE,LOW,EXCELLENT,1,1,TRAILING
snake_plant,Snake plant,HOT_HUMID|HOT_DRY,PART,LOW,LOW,HIGH,0,0,UNSAFE,LOW,EXCELLENT,1,0,UPRIGHT
spider_plant,Spider plant,HOT_HUMID,PART,MED,LOW,HIGH,1,0,SAFE,LOW,EXCELLENT,1,0,TRAILING
geranium_pelargonium,Scented geranium,HOT_HUMID|HOT_DRY,FULL,MED,LOW,LOW,3,1,CAUTION,LOW,EXCELLENT,1,0,UPRIGHT
plumeria,Plumeria,HOT_HUMID|HOT_DRY,FULL,MED,MED,MED,3,0,UNSAFE,MED,GOOD,2,1,SHRUB
bamboo_dwarf,Dwarf bamboo,HOT_HUMID|MONSOON_HEAVY,PART,HIGH,MED,HIGH,1,0,SAFE,MED,FAIR,3,3,GRASS
ficus_pumila,Creeping fig,HOT_HUMID,PART,MED,MED,HIGH,2,0,CAUTION,LOW,FAIR,2,2,VINE
ixora,Ixora,HOT_HUMID,FULL,MED,MED,MED,3,0,CAUTION,MED,GOOD,2,1,SHRUB
adenium,Adenium,HOT_DRY|HOT_HUMID,FULL,LOW,LOW,LOW,2,0,UNSAFE,LOW,EXCELLENT,1,0,SHRUB
frangipani_alt,Frangipani (alt cultivar),HOT_HUMID,FULL,MED,LOW,MED,3,0,UNSAFE,MED,GOOD,2,1,SHRUB
money_plant_full,Money plant (dense),HOT_HUMID,SHADE,LOW,LOW,LOW,0,0,UNSAFE,LOW,EXCELLENT,2,2,VINE
caladium,Caladium,HOT_HUMID|MONSOON_HEAVY,SHADE,HIGH,MED,LOW,1,0,UNSAFE,LOW,GOOD,1,0,HERB
coleus,Coleus,HOT_HUMID,PART,MED,LOW,LOW,2,0,SAFE,LOW,EXCELLENT,1,0,UPRIGHT
periwinkle_alt,Periwinkle (ground),HOT_HUMID,PART,MED,LOW,LOW,2,0,UNSAFE,LOW,EXCELLENT,1,0,GROUND_COVER
lemongrass_dense,Lemongrass screen,HOT_HUMID|HOT_DRY,FULL,MED,LOW,HIGH,2,1,SAFE,MED,GOOD,3,3,GRASS
curry_screen,Curry leaf screen,HOT_HUMID,FULL,MED,LOW,MED,2,1,CAUTION,HIGH,GOOD,3,3,SHRUB
tomato_dwarf,Dwarf tomato,HOT_HUMID,FULL,HIGH,HIGH,LOW,2,1,UNSAFE,LOW,GOOD,1,0,UPRIGHT
eggplant_mini,Mini brinjal,HOT_HUMID,FULL,HIGH,MED,LOW,2,1,UNSAFE,HIGH,GOOD,1,0,UPRIGHT
okra,Okra,HOT_HUMID|HOT_DRY,FULL,MED,MED,LOW,2,1,SAFE,HIGH,GOOD,2,0,UPRIGHT
beans_bush,Bush beans,HOT_HUMID|TEMPERATE_LITE,FULL,MED,MED,LOW,2,1,SAFE,HIGH,GOOD,1,0,UPRIGHT
spinach_indian,Indian spinach (palak-like),HOT_HUMID|MONSOON_HEAVY,PART,HIGH,MED,LOW,1,1,SAFE,HIGH,GOOD,1,0,HERB
luffa,Ridge gourd,HOT_HUMID|MONSOON_HEAVY,FULL,HIGH,MED,MED,2,1,SAFE,HIGH,GOOD,2,2,VINE
ridge_gourd_alt,Bottle gourd (compact),HOT_HUMID,FULL,HIGH,MED,MED,2,1,SAFE,HIGH,FAIR,2,1,VINE
jasmine_mogra,Mogra jasmine,HOT_HUMID,FULL,MED,MED,MED,3,0,SAFE,HIGH,GOOD,2,1,VINE
rose_mini,Miniature rose,TEMPERATE_LITE|HOT_HUMID,FULL,HIGH,HIGH,MED,3,0,CAUTION,LOW,GOOD,1,0,SHRUB
lantana_dwarf,Dwarf lantana,HOT_HUMID|HOT_DRY,FULL,LOW,LOW,MED,3,0,UNSAFE,LOW,EXCELLENT,1,0,SHRUB
agave,Agave,HOT_DRY,FULL,LOW,LOW,MED,1,0,UNSAFE,LOW,EXCELLENT,1,0,SUCCULENT
fern_boston,Boston fern,HOT_HUMID,SHADE,HIGH,MED,LOW,1,0,SAFE,LOW,GOOD,2,1,TRAILING
areca_palm_dwarf,Dwarf areca palm,HOT_HUMID,PART,HIGH,MED,HIGH,1,0,SAFE,MED,FAIR,3,3,UPRIGHT
dracaena_marginata,Dracaena marginata,HOT_HUMID,PART,MED,LOW,LOW,0,0,UNSAFE,LOW,EXCELLENT,2,1,UPRIGHT
peace_lily,Peace lily,HOT_HUMID,SHADE,HIGH,LOW,LOW,1,0,UNSAFE,LOW,GOOD,1,0,HERB
tradescantia,Tradescantia,HOT_HUMID,PART,MED,LOW,HIGH,1,0,CAUTION,LOW,EXCELLENT,1,0,TRAILING
sweet_potato_vine,Sweet potato vine,HOT_HUMID,FULL,MED,LOW,LOW,2,1,SAFE,HIGH,GOOD,2,1,TRAILING
dianthus,Dianthus,TEMPERATE_LITE|HOT_HUMID,FULL,MED,MED,LOW,3,0,SAFE,LOW,EXCELLENT,0,0,GROUND_COVER
petunia,Petunia,HOT_HUMID,FULL,MED,MED,LOW,3,0,SAFE,LOW,EXCELLENT,1,0,TRAILING
impatiens,Impatiens,HOT_HUMID,SHADE,HIGH,MED,LOW,2,0,SAFE,LOW,EXCELLENT,1,0,UPRIGHT
cactus_mix,Mixed cactus tray,HOT_DRY,FULL,LOW,LOW,LOW,1,0,UNSAFE,LOW,EXCELLENT,1,0,SUCCULENT
vetiver,Vetiver grass,HOT_HUMID|HOT_DRY,FULL,MED,LOW,HIGH,2,0,SAFE,HIGH,GOOD,3,2,GRASS
